Country,Population,Birthrate,Deathrate,Region
Mauritania,3177388,40.99,12.16,Sub-saharan Africa
Mauritius,1240827,15.43,6.86,Sub-saharan Africa
Mayotte,201234,40.95,7.7,Sub-saharan Africa
Mexico,107449525,20.69,4.74,Latin America
Micronesia,108004,24.68,4.75,Oceania
Moldova,4466706,15.7,12.64,Commonwealth States
Monaco,32543,9.19,12.91,Western Europe
Mongolia,2832224,21.59,6.95,Asia
Montserrat,9439,17.59,7.1,Latin America
Morocco,33241259,21.98,5.58,Northern Africa
Mozambique,19686505,35.18,21.35,Sub-saharan Africa
Namibia,2044147,24.32,18.86,Sub-saharan Africa
Nauru,13287,24.76,6.7,Oceania
Nepal,28287147,30.98,9.31,Asia
Netherlands,16491461,10.9,8.68,Western Europe
Netherlands Antilles,221736,14.78,6.45,Latin America
New Caledonia,219246,18.11,5.69,Oceania
New Zealand,4076140,13.76,7.53,Oceania
Nicaragua,5570129,24.51,4.45,Latin America
Niger,12525094,50.73,20.91,Sub-saharan Africa
Nigeria,131859731,40.43,16.94,Sub-saharan Africa
N. Mariana Islands,82459,19.43,2.29,Oceania
Norway,4610820,11.46,9.4,Western Europe
Oman,3102229,36.24,3.81,Near East
Pakistan,165803560,29.74,8.23,Asia
Palau,20579,18.03,6.8,Oceania
Panama,3191319,21.74,5.36,Latin America
Papua New Guinea,5670544,29.36,7.25,Oceania
Paraguay,6506464,29.1,4.49,Latin America
Peru,28302603,20.48,6.23,Latin America
Philippines,89468677,24.89,5.41,Asia
Poland,38536869,9.85,9.89,Eastern Europe
Portugal,10605870,10.72,10.5,Western Europe
Puerto Rico,3927188,12.77,7.65,Latin America
Qatar,885359,15.56,4.72,Near East
Reunion,787584,18.9,5.49,Sub-saharan Africa
Romania,22303552,10.7,11.77,Eastern Europe
Russia,142893540,9.95,14.65,Commonwealth States
Rwanda,8648248,40.37,16.09,Sub-saharan Africa
Saint Helena,7502,12.13,6.53,Sub-saharan Africa
Saint Kitts & Nevis,39129,18.02,8.33,Latin America
Saint Lucia,168458,19.68,5.08,Latin America
St Pierre & Miquelon,7026,13.52,6.83,Northern America
Saint Vincent and the Grenadines,117848,16.18,5.98,Latin America
Samoa,176908,16.43,6.62,Oceania
San Marino,29251,10.02,8.17,Western Europe
Sao Tome & Principe,193413,40.25,6.47,Sub-saharan Africa
Saudi Arabia,27019731,29.34,2.58,Near East
Senegal,11987121,32.78,9.42,Sub-saharan Africa
Seychelles,81541,16.03,6.29,Sub-saharan Africa
Sierra Leone,6005250,45.76,23.03,Sub-saharan Africa
Singapore,4492150,9.34,4.28,Asia
Slovakia,5439448,10.65,9.45,Eastern Europe
Slovenia,2010347,8.98,10.31,Eastern Europe
Solomon Islands,552438,30.01,3.92,Oceania
Somalia,8863338,45.13,16.63,Sub-saharan Africa
South Africa,44187637,18.2,22,Sub-saharan Africa
Spain,40397842,10.06,9.72,Western Europe
Sri Lanka,20222240,15.51,6.52,Asia
Sudan,41236378,34.53,8.97,Sub-saharan Africa
Suriname,439117,18.02,7.27,Latin America
Swaziland,1136334,27.41,29.74,Sub-saharan Africa
Sweden,9016596,10.27,10.31,Western Europe
Switzerland,7523934,9.71,8.49,Western Europe
Syria,18881361,27.76,4.81,Near East
Taiwan,23036087,12.56,6.48,Asia
Tajikistan,7320815,32.65,8.25,Commonwealth States
Tanzania,37445392,37.71,16.39,Sub-saharan Africa
Thailand,64631595,13.87,7.04,Asia
Togo,5548702,37.01,9.83,Sub-saharan Africa
Tonga,114689,25.37,5.28,Oceania
Trinidad & Tobago,1065842,12.9,10.57,Latin America
Tunisia,10175014,15.52,5.13,Northern Africa
Turkey,70413958,16.62,5.97,Near East
Turkmenistan,5042920,27.61,8.6,Commonwealth States
Turks & Caicos Is,21152,21.84,4.21,Latin America
Tuvalu,11810,22.18,7.11,Oceania
Uganda,28195754,47.35,12.24,Sub-saharan Africa
Ukraine,46710816,8.82,14.39,Commonwealth States
United Arab Emirates,2602713,18.96,4.4,Near East
United Kingdom,60609153,10.71,10.13,Western Europe
United States of America,298444215,14.14,8.26,Northern America
Uruguay,3431932,13.91,9.05,Latin America
Uzbekistan,27307134,26.36,7.84,Commonwealth States
Vanuatu,208869,22.72,7.82,Oceania
Venezuela,25730435,18.71,4.92,Latin America
Vietnam,84402966,16.86,6.22,Asia
Virgin Islands,108605,13.96,6.43,Latin America
West Bank,2460492,31.67,3.92,Near East
Yemen,21456188,42.89,8.3,Near East
Zambia,11502010,41,19.93,Sub-saharan Africa
Zimbabwe,12236805,28.01,21.84,Sub-saharan Africa
